Key      | Name                                       | CpuId                            | FormId   | InstForm                                                         | InstClass          | InstSig                                                  | Types                            | Category                         | Signature
51       | _mm_cvtpi8_ps                              | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Convert                          | __m128 _mm_cvtpi8_ps(__m64 a)
52       | _mm_cvtps_pi16                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Convert                          | __m64 _mm_cvtps_pi16(__m128 a)
53       | _mm_cvtps_pi8                              | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Convert                          | __m64 _mm_cvtps_pi8(__m128 a)
54       | _mm_cvtpu16_ps                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Convert                          | __m128 _mm_cvtpu16_ps(__m64 a)
55       | _mm_cvtpu8_ps                              | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point,Integer           | Convert                          | __m128 _mm_cvtpu8_ps(__m64 a)
56       | _mm_delay_32                               | KNCNI                            | 0        |                                                                  |                    | DELAY r32                                                |                                  | General Support                  | void _mm_delay_32(unsigned int r1)
57       | _mm_delay_64                               | KNCNI                            | 0        |                                                                  |                    | DELAY r64                                                |                                  | General Support                  | void _mm_delay_64(unsigned __int64 r1)
58       | _mm_div_epi16                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epi16(__m128i a, __m128i b)
59       | _mm_div_epi32                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epi32(__m128i a, __m128i b)
60       | _mm_div_epi64                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epi64(__m128i a, __m128i b)
61       | _mm_div_epi8                               | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epi8(__m128i a, __m128i b)
62       | _mm_div_epu16                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epu16(__m128i a, __m128i b)
63       | _mm_div_epu32                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epu32(__m128i a, __m128i b)
64       | _mm_div_epu64                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epu64(__m128i a, __m128i b)
65       | _mm_div_epu8                               | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_div_epu8(__m128i a, __m128i b)
66       | _mm_erf_pd                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Arithmetic                       | __m128d _mm_erf_pd(__m128d a)
67       | _mm_erf_ps                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128 _mm_erf_ps(__m128 a)
68       | _mm_erfc_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128d _mm_erfc_pd(__m128d a)
69       | _mm_erfc_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128 _mm_erfc_ps(__m128 a)
70       | _mm_erfcinv_pd                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128d _mm_erfcinv_pd(__m128d a)
71       | _mm_erfcinv_ps                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128 _mm_erfcinv_ps(__m128 a)
72       | _mm_erfinv_pd                              | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128d _mm_erfinv_pd(__m128d a)
73       | _mm_erfinv_ps                              | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Probability/Statistics           | __m128 _mm_erfinv_ps(__m128 a)
74       | _mm_exp_pd                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_exp_pd(__m128d a)
75       | _mm_exp_ps                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_exp_ps(__m128 a)
76       | _mm_exp10_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_exp10_pd(__m128d a)
77       | _mm_exp10_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_exp10_ps(__m128 a)
78       | _mm_exp2_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_exp2_pd(__m128d a)
79       | _mm_exp2_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_exp2_ps(__m128 a)
80       | _mm_expm1_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_expm1_pd(__m128d a)
81       | _mm_expm1_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_expm1_ps(__m128 a)
82       | _mm_free                                   | SSE                              | 0        |                                                                  |                    |                                                          |                                  | General Support                  | void _mm_free(void * mem_addr)
83       | _MM_GET_EXCEPTION_MASK                     | SSE                              | 0        |                                                                  |                    |                                                          |                                  | General Support                  | unsigned int _MM_GET_EXCEPTION_MASK()
84       | _MM_GET_EXCEPTION_STATE                    | SSE                              | 0        |                                                                  |                    |                                                          |                                  | General Support                  | unsigned int _MM_GET_EXCEPTION_STATE()
85       | _MM_GET_FLUSH_ZERO_MODE                    | SSE                              | 0        |                                                                  |                    |                                                          |                                  | General Support                  | unsigned int _MM_GET_FLUSH_ZERO_MODE()
86       | _MM_GET_ROUNDING_MODE                      | SSE                              | 0        |                                                                  |                    |                                                          |                                  | General Support                  | unsigned int _MM_GET_ROUNDING_MODE()
87       | _mm_hypot_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128d _mm_hypot_pd(__m128d a, __m128d b)
88       | _mm_hypot_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Trigonometry                     | __m128 _mm_hypot_ps(__m128 a, __m128 b)
89       | _mm_idiv_epi32                             | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_idiv_epi32(__m128i a, __m128i b)
90       | _mm_idivrem_epi32                          | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_idivrem_epi32(__m128i * mem_addr, __m128i a, __m128i b)
91       | _mm_invcbrt_pd                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_invcbrt_pd(__m128d a)
92       | _mm_invcbrt_ps                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_invcbrt_ps(__m128 a)
93       | _mm_invsqrt_pd                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_invsqrt_pd(__m128d a)
94       | _mm_invsqrt_ps                             | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_invsqrt_ps(__m128 a)
95       | _mm_irem_epi32                             | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_irem_epi32(__m128i a, __m128i b)
96       | _mm_load_ps1                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Load                             | __m128 _mm_load_ps1(float const* mem_addr)
97       | _mm_load1_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Load                             | __m128 _mm_load1_ps(float const* mem_addr)
98       | _mm_loadr_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Load                             | __m128 _mm_loadr_ps(float const* mem_addr)
99       | _mm_loadu_si16                             | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Load                             | __m128i _mm_loadu_si16(void const* mem_addr)
100      | _mm_log_pd                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_log_pd(__m128d a)
101      | _mm_log_ps                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_log_ps(__m128 a)
102      | _mm_log10_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_log10_pd(__m128d a)
103      | _mm_log10_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_log10_ps(__m128 a)
104      | _mm_log1p_pd                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_log1p_pd(__m128d a)
105      | _mm_log1p_ps                               | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_log1p_ps(__m128 a)
106      | _mm_log2_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_log2_pd(__m128d a)
107      | _mm_log2_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_log2_ps(__m128 a)
108      | _mm_logb_pd                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_logb_pd(__m128d a)
109      | _mm_logb_ps                                | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_logb_ps(__m128 a)
110      | _mm_malloc                                 | SSE                              | 0        |                                                                  |                    |                                                          |                                  | General Support                  | void* _mm_malloc(size_t size, size_t align)
111      | _mm_pow_pd                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128d _mm_pow_pd(__m128d a, __m128d b)
112      | _mm_pow_ps                                 | SSE                              | 0        |                                                                  |                    |                                                          | Floating Point                   | Elementary Math Functions        | __m128 _mm_pow_ps(__m128 a, __m128 b)
113      | _mm_prefetch                               | KNCNI                            | 0        |                                                                  |                    | VPREFETCH0 m8                                            |                                  | General Support                  | void _mm_prefetch(char const* p, int i)
114      | _mm_rem_epi16                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epi16(__m128i a, __m128i b)
115      | _mm_rem_epi32                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epi32(__m128i a, __m128i b)
116      | _mm_rem_epi64                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epi64(__m128i a, __m128i b)
117      | _mm_rem_epi8                               | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epi8(__m128i a, __m128i b)
118      | _mm_rem_epu16                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epu16(__m128i a, __m128i b)
119      | _mm_rem_epu32                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epu32(__m128i a, __m128i b)
120      | _mm_rem_epu64                              | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epu64(__m128i a, __m128i b)
121      | _mm_rem_epu8                               | SSE                              | 0        |                                                                  |                    |                                                          | Integer                          | Arithmetic                       | __m128i _mm_rem_epu8(__m128i a, __m128i b)
122      | _mm_set_epi16                              | SSE2                             | 0        |                                                                  |                    |                                                          | Integer                          | Set                              | __m128i _mm_set_epi16(short e7, short e6, short e5, short e4, short e3, short e2, short e1, short e0)
123      | _mm_set_epi32                              | SSE2                             | 0        |                                                                  |                    |                                                          | Integer                          | Set                              | __m128i _mm_set_epi32(int e3, int e2, int e1, int e0)
124      | _mm_set_epi64                              | SSE2                             | 0        |                                                                  |                    |                                                          | Integer                          | Set                              | __m128i _mm_set_epi64(__m64 e1, __m64 e0)
125      | _mm_set_epi64x                             | SSE2                             | 0        |                                                                  |                    |                                                          | Integer                          | Set                              | __m128i _mm_set_epi64x(__int64 e1, __int64 e0)
