# https://docs.microsoft.com/en-us/cpp/build/reference/compiler-options-listed-alphabetically?view=msvc-170
"Option"                                ,"Purpose"
"/Yd"                                   ,"Deprecated. Places complete debugging information in all object files. Use /Zi instead."
"/Yl"                                   ,"Injects a PCH reference when creating a debug library."
"/Yu"                                   ,"Uses a precompiled header file during build."
"/Z7"                                   ,"Generates C 7.0-compatible debugging information."
"/Za"                                   ,"Disables some C89 language extensions in C code."
"/Zc:__cplusplus[-]"                    ,"Enable the __cplusplus macro to report the supported standard (off by default)."
"/Zc:alignedNew[-]"                     ,"Enable C++17 over-aligned dynamic allocation (on by default in C++17)."
"/Zc:auto[-]"                           ,"Enforce the new Standard C++ meaning for auto (on by default)."
"/Zc:char8_t[-]"                        ,"Enable or disable C++20 native u8 literal support as const char8_t (off by default, except under /std:c++20)."
"/Zc:externC[-]"                        ,"Enforce Standard C++ rules for extern ""C"" functions (implied by /permissive-)."
"/Zc:externConstexpr[-]"                ,"Enable external linkage for constexpr variables (off by default)."
"/Zc:forScope[-]"                       ,"Enforce Standard C++ for scoping rules (on by default)."
"/Zc:hiddenFriend[-]"                   ,"Enforce Standard C++ hidden friend rules (implied by /permissive-)"
"/Zc:implicitNoexcept[-]"               ,"Enable implicit noexcept on required functions (on by default)."
"/Zc:inline[-]"                         ,"Remove unreferenced functions or data if they're COMDAT or have internal linkage only (off by default)."
"/Zc:lambda[-]"                         ,"Enable new lambda processor for conformance-mode syntactic checks in generic lambdas."
"/Zc:noexceptTypes[-]"                  ,"Enforce C++17 noexcept rules (on by default in C++17 or later)."
"/Zc:preprocessor[-]"                   ,"Use the new conforming preprocessor (off by default, except in C11/C17)."
"/Zc:referenceBinding[-]"               ,"A UDT temporary won't bind to a non-const lvalue reference (off by default)."
"/Zc:rvalueCast[-]"                     ,"Enforce Standard C++ explicit type conversion rules (off by default)."
"/Zc:sizedDealloc[-]"                   ,"Enable C++14 global sized deallocation functions (on by default)."
"/Zc:strictStrings[-]"                  ,"Disable string-literal to char* or wchar_t* conversion (off by default)."
"/Zc:ternary[-]"                        ,"Enforce conditional operator rules on operand types (off by default)."
"/Zc:threadSafeInit[-]"                 ,"Enable thread-safe local static initialization (on by default)."
"/Zc:throwingNew[-]"                    ,"Assume operator new throws on failure (off by default)."
"/Zc:tlsGuards[-]"                      ,"Generate runtime checks for TLS variable initialization (on by default)."
"/Zc:trigraphs"                         ,"Enable trigraphs (obsolete, off by default)."
"/Zc:twoPhase[-]"                       ,"Use non-conforming template parsing behavior (conforming by default)."
"/Zc:wchar_t[-]"                        ,"wchar_t is a native type, not a typedef (on by default)."
"/Zc:zeroSizeArrayNew[-]"               ,"Call member new/delete for 0-size arrays of objects (on by default)."
"/Ze"                                   ,"Deprecated. Enables C89 language extensions."
"/Zf"                                   ,"Improves PDB generation time in parallel builds."
"/ZH:[MD5|SHA1|SHA_256]"                ,"Specifies MD5, SHA-1, or SHA-256 for checksums in debug info."
"/ZI"                                   ,"Includes debug information in a program database compatible with Edit and Continue. (x86 only)"
"/Zi"                                   ,"Generates complete debugging information."
"/Zl"                                   ,"Removes the default library name from the .obj file."
"/Zm"                                   ,"Specifies the precompiled header memory allocation limit."
"/Zo[-]"                                ,"Generate richer debugging information for optimized code."
"/Zp[n] n"                              ,"Packs structure members."
"/Zs"                                   ,"Checks syntax only."
"/ZW"                                   ,"Produces an output file to run on the Windows Runtime."
