# Derived from https://github.com/llvm/llvm-project/blob/a8ad9170543906fc58336ab736a109fb42082fbf/llvm/include/llvm/Support/X86DisassemblerDecoderCommon.h
| Name                       | Value | Description                                                                        |
| IC_EVEX_OPSIZE             | 2     | requires EVEX and the OpSize prefix                                                |
| IC_EVEX_W                  | 3     | requires EVEX and the W prefix                                                     |
| IC_EVEX_W_XS               | 4     | requires EVEX, W, and XS prefix                                                    |
| IC_EVEX_W_XD               | 4     | requires EVEX, W, and XD prefix                                                    |
| IC_EVEX_W_OPSIZE           | 4     | requires EVEX, W, and OpSize                                                       |
| IC_EVEX_L                  | 3     | requires EVEX and the L prefix                                                     |
| IC_EVEX_L_XS               | 4     | requires EVEX and the L and XS prefix                                              |
| IC_EVEX_L_XD               | 4     | requires EVEX and the L and XD prefix                                              |
| IC_EVEX_L_OPSIZE           | 4     | requires EVEX, L, and OpSize                                                       |
| IC_EVEX_L_W                | 3     | requires EVEX, L and W                                                             |
| IC_EVEX_L_W_XS             | 4     | requires EVEX, L, W and XS prefix                                                  |
| IC_EVEX_L_W_XD             | 4     | requires EVEX, L, W and XD prefix                                                  |
| IC_EVEX_L_W_OPSIZE         | 4     | requires EVEX, L, W and OpSize                                                     |
| IC_EVEX_L2                 | 3     | requires EVEX and the L2 prefix                                                    |
| IC_EVEX_L2_XS              | 4     | requires EVEX and the L2 and XS prefix                                             |
| IC_EVEX_L2_XD              | 4     | requires EVEX and the L2 and XD prefix                                             |
| IC_EVEX_L2_OPSIZE          | 4     | requires EVEX, L2, and OpSize                                                      |
| IC_EVEX_L2_W               | 3     | requires EVEX, L2 and W                                                            |
| IC_EVEX_L2_W_XS            | 4     | requires EVEX, L2, W and XS prefix                                                 |
| IC_EVEX_L2_W_XD            | 4     | requires EVEX, L2, W and XD prefix                                                 |
| IC_EVEX_L2_W_OPSIZE        | 4     | requires EVEX, L2, W and OpSize                                                    |
| IC_EVEX_K                  | 1     | requires an EVEX_K prefix                                                          |
| IC_EVEX_XS_K               | 2     | requires EVEX_K and the XS prefix                                                  |
| IC_EVEX_XD_K               | 2     | requires EVEX_K and the XD prefix                                                  |
| IC_EVEX_OPSIZE_K           | 2     | requires EVEX_K and the OpSize prefix                                              |
| IC_EVEX_W_K                | 3     | requires EVEX_K and the W prefix                                                   |
| IC_EVEX_W_XS_K             | 4     | requires EVEX_K, W, and XS prefix                                                  |
| IC_EVEX_W_XD_K             | 4     | requires EVEX_K, W, and XD prefix                                                  |
| IC_EVEX_W_OPSIZE_K         | 4     | requires EVEX_K, W, and OpSize                                                     |
| IC_EVEX_L_K                | 3     | requires EVEX_K and the L prefix                                                   |
| IC_EVEX_L_XS_K             | 4     | requires EVEX_K and the L and XS prefix                                            |
| IC_EVEX_L_XD_K             | 4     | requires EVEX_K and the L and XD prefix                                            |
| IC_EVEX_L_OPSIZE_K         | 4     | requires EVEX_K, L, and OpSize                                                     |
| IC_EVEX_L_W_K              | 3     | requires EVEX_K, L and W                                                           |
| IC_EVEX_L_W_XS_K           | 4     | requires EVEX_K, L, W and XS prefix                                                |
| IC_EVEX_L_W_XD_K           | 4     | requires EVEX_K, L, W and XD prefix                                                |
| IC_EVEX_L_W_OPSIZE_K       | 4     | requires EVEX_K, L, W and OpSize                                                   |
| IC_EVEX_L2_K               | 3     | requires EVEX_K and the L2 prefix                                                  |
| IC_EVEX_L2_XS_K            | 4     | requires EVEX_K and the L2 and XS prefix                                           |
| IC_EVEX_L2_XD_K            | 4     | requires EVEX_K and the L2 and XD prefix                                           |
| IC_EVEX_L2_OPSIZE_K        | 4     | requires EVEX_K, L2, and OpSize                                                    |
| IC_EVEX_L2_W_K             | 3     | requires EVEX_K, L2 and W                                                          |
| IC_EVEX_L2_W_XS_K          | 4     | requires EVEX_K, L2, W and XS prefix                                               |
| IC_EVEX_L2_W_XD_K          | 4     | requires EVEX_K, L2, W and XD prefix                                               |
| IC_EVEX_L2_W_OPSIZE_K      | 4     | requires EVEX_K, L2, W and OpSize                                                  |
| IC_EVEX_B                  | 1     | requires an EVEX_B prefix                                                          |
| IC_EVEX_XS_B               | 2     | requires EVEX_B and the XS prefix                                                  |
| IC_EVEX_XD_B               | 2     | requires EVEX_B and the XD prefix                                                  |
| IC_EVEX_OPSIZE_B           | 2     | requires EVEX_B and the OpSize prefix                                              |
| IC_EVEX_W_B                | 3     | requires EVEX_B and the W prefix                                                   |
| IC_EVEX_W_XS_B             | 4     | requires EVEX_B, W, and XS prefix                                                  |
| IC_EVEX_W_XD_B             | 4     | requires EVEX_B, W, and XD prefix                                                  |
| IC_EVEX_W_OPSIZE_B         | 4     | requires EVEX_B, W, and OpSize                                                     |
| IC_EVEX_L_B                | 3     | requires EVEX_B and the L prefix                                                   |
| IC_EVEX_L_XS_B             | 4     | requires EVEX_B and the L and XS prefix                                            |
| IC_EVEX_L_XD_B             | 4     | requires EVEX_B and the L and XD prefix                                            |
| IC_EVEX_L_OPSIZE_B         | 4     | requires EVEX_B, L, and OpSize                                                     |
| IC_EVEX_L_W_B              | 3     | requires EVEX_B, L and W                                                           |
| IC_EVEX_L_W_XS_B           | 4     | requires EVEX_B, L, W and XS prefix                                                |
| IC_EVEX_L_W_XD_B           | 4     | requires EVEX_B, L, W and XD prefix                                                |
| IC_EVEX_L_W_OPSIZE_B       | 4     | requires EVEX_B, L, W and OpSize                                                   |
| IC_EVEX_L2_B               | 3     | requires EVEX_B and the L2 prefix                                                  |
| IC_EVEX_L2_XS_B            | 4     | requires EVEX_B and the L2 and XS prefix                                           |
| IC_EVEX_L2_XD_B            | 4     | requires EVEX_B and the L2 and XD prefix                                           |
| IC_EVEX_L2_OPSIZE_B        | 4     | requires EVEX_B, L2, and OpSize                                                    |
| IC_EVEX_L2_W_B             | 3     | requires EVEX_B, L2 and W                                                          |
| IC_EVEX_L2_W_XS_B          | 4     | requires EVEX_B, L2, W and XS prefix                                               |
| IC_EVEX_L2_W_XD_B          | 4     | requires EVEX_B, L2, W and XD prefix                                               |
| IC_EVEX_L2_W_OPSIZE_B      | 4     | requires EVEX_B, L2, W and OpSize                                                  |
| IC_EVEX_K_B                | 1     | requires EVEX_B and EVEX_K prefix                                                  |
| IC_EVEX_XS_K_B             | 2     | requires EVEX_B, EVEX_K and the XS prefix                                          |
| IC_EVEX_XD_K_B             | 2     | requires EVEX_B, EVEX_K and the XD prefix                                          |
| IC_EVEX_OPSIZE_K_B         | 2     | requires EVEX_B, EVEX_K and the OpSize prefix                                      |
| IC_EVEX_W_K_B              | 3     | requires EVEX_B, EVEX_K and the W prefix                                           |
| IC_EVEX_W_XS_K_B           | 4     | requires EVEX_B, EVEX_K, W, and XS prefix                                          |
| IC_EVEX_W_XD_K_B           | 4     | requires EVEX_B, EVEX_K, W, and XD prefix                                          |
| IC_EVEX_W_OPSIZE_K_B       | 4     | requires EVEX_B, EVEX_K, W, and OpSize                                             |
| IC_EVEX_L_K_B              | 3     | requires EVEX_B, EVEX_K and the L prefix                                           |
| IC_EVEX_L_XS_K_B           | 4     | requires EVEX_B, EVEX_K and the L and XS prefix                                    |
| IC_EVEX_L_XD_K_B           | 4     | requires EVEX_B, EVEX_K and the L and XD prefix                                    |
| IC_EVEX_L_OPSIZE_K_B       | 4     | requires EVEX_B, EVEX_K, L, and OpSize                                             |
| IC_EVEX_L_W_K_B            | 3     | requires EVEX_B, EVEX_K, L and W                                                   |
| IC_EVEX_L_W_XS_K_B         | 4     | requires EVEX_B, EVEX_K, L, W and XS prefix                                        |
| IC_EVEX_L_W_XD_K_B         | 4     | requires EVEX_B, EVEX_K, L, W and XD prefix                                        |
| IC_EVEX_L_W_OPSIZE_K_B     | 4     | requires EVEX_B, EVEX_K, L, W and OpSize                                           |
| IC_EVEX_L2_K_B             | 3     | requires EVEX_B, EVEX_K and the L2 prefix                                          |
| IC_EVEX_L2_XS_K_B          | 4     | requires EVEX_B, EVEX_K and the L2 and XS prefix                                   |
| IC_EVEX_L2_XD_K_B          | 4     | requires EVEX_B, EVEX_K and the L2 and XD prefix                                   |
| IC_EVEX_L2_OPSIZE_K_B      | 4     | requires EVEX_B, EVEX_K, L2, and OpSize                                            |
| IC_EVEX_L2_W_K_B           | 3     | requires EVEX_B, EVEX_K, L2 and W                                                  |
| IC_EVEX_L2_W_XS_K_B        | 4     | requires EVEX_B, EVEX_K, L2, W and XS prefix                                       |
| IC_EVEX_L2_W_XD_K_B        | 4     | requires EVEX_B, EVEX_K, L2, W and XD prefix                                       |
| IC_EVEX_L2_W_OPSIZE_K_B    | 4     | requires EVEX_B, EVEX_K, L2, W and OpSize                                          |
| IC_EVEX_KZ_B               | 1     | requires EVEX_B and EVEX_KZ prefix                                                 |
| IC_EVEX_XS_KZ_B            | 2     | requires EVEX_B, EVEX_KZ and the XS prefix                                         |
| IC_EVEX_XD_KZ_B            | 2     | requires EVEX_B, EVEX_KZ and the XD prefix                                         |
| IC_EVEX_OPSIZE_KZ_B        | 2     | requires EVEX_B, EVEX_KZ and the OpSize prefix                                     |
| IC_EVEX_W_KZ_B             | 3     | requires EVEX_B, EVEX_KZ and the W prefix                                          |
| IC_EVEX_W_XS_KZ_B          | 4     | requires EVEX_B, EVEX_KZ, W, and XS prefix                                         |
| IC_EVEX_W_XD_KZ_B          | 4     | requires EVEX_B, EVEX_KZ, W, and XD prefix                                         |
| IC_EVEX_W_OPSIZE_KZ_B      | 4     | requires EVEX_B, EVEX_KZ, W, and OpSize                                            |
| IC_EVEX_L_KZ_B             | 3     | requires EVEX_B, EVEX_KZ and the L prefix                                          |
| IC_EVEX_L_XS_KZ_B          | 4     | requires EVEX_B, EVEX_KZ and the L and XS prefix                                   |
| IC_EVEX_L_XD_KZ_B          | 4     | requires EVEX_B, EVEX_KZ and the L and XD prefix                                   |
| IC_EVEX_L_OPSIZE_KZ_B      | 4     | requires EVEX_B, EVEX_KZ, L, and OpSize                                            |
| IC_EVEX_L_W_KZ_B           | 3     | requires EVEX_B, EVEX_KZ, L, and W                                                 |
| IC_EVEX_L_W_XS_KZ_B        | 4     | requires EVEX_B, EVEX_KZ, L, W and XS prefix                                       |
| IC_EVEX_L_W_XD_KZ_B        | 4     | requires EVEX_B, EVEX_KZ, L, W and XD prefix                                       |
| IC_EVEX_L_W_OPSIZE_KZ_B    | 4     | requires EVEX_B, EVEX_KZ, L, W and OpSize                                          |
| IC_EVEX_L2_KZ_B            | 3     | requires EVEX_B, EVEX_KZ and the L2 prefix                                         |
| IC_EVEX_L2_XS_KZ_B         | 4     | requires EVEX_B, EVEX_KZ and the L2 and XS prefix                                  |
| IC_EVEX_L2_XD_KZ_B         | 4     | requires EVEX_B, EVEX_KZ and the L2 and XD prefix                                  |
| IC_EVEX_L2_OPSIZE_KZ_B     | 4     | requires EVEX_B, EVEX_KZ, L2, and OpSize                                           |
| IC_EVEX_L2_W_KZ_B          | 3     | requires EVEX_B, EVEX_KZ, L2 and W                                                 |
| IC_EVEX_L2_W_XS_KZ_B       | 4     | requires EVEX_B, EVEX_KZ, L2, W and XS prefix                                      |
| IC_EVEX_L2_W_XD_KZ_B       | 4     | requires EVEX_B, EVEX_KZ, L2, W and XD prefix                                      |
| IC_EVEX_L2_W_OPSIZE_KZ_B   | 4     | requires EVEX_B, EVEX_KZ, L2, W and OpSize                                         |
| IC_EVEX_KZ                 | 1     | requires an EVEX_KZ prefix                                                         |
| IC_EVEX_XS_KZ              | 2     | requires EVEX_KZ and the XS prefix                                                 |
| IC_EVEX_XD_KZ              | 2     | requires EVEX_KZ and the XD prefix                                                 |
| IC_EVEX_OPSIZE_KZ          | 2     | requires EVEX_KZ and the OpSize prefix                                             |
| IC_EVEX_W_KZ               | 3     | requires EVEX_KZ and the W prefix                                                  |
| IC_EVEX_W_XS_KZ            | 4     | requires EVEX_KZ, W, and XS prefix                                                 |
| IC_EVEX_W_XD_KZ            | 4     | requires EVEX_KZ, W, and XD prefix                                                 |
| IC_EVEX_W_OPSIZE_KZ        | 4     | requires EVEX_KZ, W, and OpSize                                                    |
| IC_EVEX_L_KZ               | 3     | requires EVEX_KZ and the L prefix                                                  |
| IC_EVEX_L_XS_KZ            | 4     | requires EVEX_KZ and the L and XS prefix                                           |
| IC_EVEX_L_XD_KZ            | 4     | requires EVEX_KZ and the L and XD prefix                                           |
| IC_EVEX_L_OPSIZE_KZ        | 4     | requires EVEX_KZ, L, and OpSize                                                    |
| IC_EVEX_L_W_KZ             | 3     | requires EVEX_KZ, L and W                                                          |
| IC_EVEX_L_W_XS_KZ          | 4     | requires EVEX_KZ, L, W and XS prefix                                               |
| IC_EVEX_L_W_XD_KZ          | 4     | requires EVEX_KZ, L, W and XD prefix                                               |
| IC_EVEX_L_W_OPSIZE_KZ      | 4     | requires EVEX_KZ, L, W and OpSize                                                  |
| IC_EVEX_L2_KZ              | 3     | requires EVEX_KZ and the L2 prefix                                                 |
| IC_EVEX_L2_XS_KZ           | 4     | requires EVEX_KZ and the L2 and XS prefix                                          |
| IC_EVEX_L2_XD_KZ           | 4     | requires EVEX_KZ and the L2 and XD prefix                                          |
| IC_EVEX_L2_OPSIZE_KZ       | 4     | requires EVEX_KZ, L2, and OpSize                                                   |
| IC_EVEX_L2_W_KZ            | 3     | requires EVEX_KZ, L2 and W                                                         |
| IC_EVEX_L2_W_XS_KZ         | 4     | requires EVEX_KZ, L2, W and XS prefix                                              |
| IC_EVEX_L2_W_XD_KZ         | 4     | requires EVEX_KZ, L2, W and XD prefix                                              |
| IC_EVEX_L2_W_OPSIZE_KZ     | 4     | requires EVEX_KZ, L2, W and OpSize                                                 |
