"Intrinsic name"                                ,"Technology" ,"Header"                   ,"Function prototype"
"_BitScanForward64"                             ,""           ,"intrin.h"                 ,"unsigned char _BitScanForward64(unsigned long*, unsigned __int64);"
"_BitScanReverse"                               ,""           ,"intrin.h"                 ,"unsigned char _BitScanReverse(unsigned long*, unsigned long);"
"_BitScanReverse64"                             ,""           ,"intrin.h"                 ,"unsigned char _BitScanReverse64(unsigned long*, unsigned __int64);"
"_bittest"                                      ,""           ,"intrin.h"                 ,"unsigned char _bittest(long const *, long);"
"_bittest64"                                    ,""           ,"intrin.h"                 ,"unsigned char _bittest64(__int64 const *, __int64);"
"_bittestandcomplement"                         ,""           ,"intrin.h"                 ,"unsigned char _bittestandcomplement(long *, long);"
"_bittestandcomplement64"                       ,""           ,"intrin.h"                 ,"unsigned char _bittestandcomplement64(__int64 *, __int64);"
"_bittestandreset"                              ,""           ,"intrin.h"                 ,"unsigned char _bittestandreset(long *, long);"
"_bittestandreset64"                            ,""           ,"intrin.h"                 ,"unsigned char _bittestandreset64(__int64 *, __int64);"
"_bittestandset"                                ,""           ,"intrin.h"                 ,"unsigned char _bittestandset(long *, long);"
"_bittestandset64"                              ,""           ,"intrin.h"                 ,"unsigned char _bittestandset64(__int64 *, __int64);"
"_blcfill_u32"                                  ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blcfill_u32(unsigned int);"
"_blcfill_u64"                                  ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blcfill_u64(unsigned __int64);"
"_blci_u32"                                     ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blci_u32(unsigned int);"
"_blci_u64"                                     ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blci_u64(unsigned __int64);"
"_blcic_u32"                                    ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blcic_u32(unsigned int);"
"_blcic_u64"                                    ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blcic_u64(unsigned __int64);"
"_blcmsk_u32"                                   ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blcmsk_u32(unsigned int);"
"_blcmsk_u64"                                   ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blcmsk_u64(unsigned __int64);"
"_blcs_u32"                                     ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blcs_u32(unsigned int);"
"_blcs_u64"                                     ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blcs_u64(unsigned __int64);"
"_blsfill_u32"                                  ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blsfill_u32(unsigned int);"
"_blsfill_u64"                                  ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blsfill_u64(unsigned __int64);"
"_blsi_u32"                                     ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned int _blsi_u32(unsigned int);"
"_blsi_u64"                                     ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned __int64 _blsi_u64(unsigned __int64);"
"_blsic_u32"                                    ,"ABM"        ,"ammintrin.h"              ,"unsigned int _blsic_u32(unsigned int);"
"_blsic_u64"                                    ,"ABM"        ,"ammintrin.h"              ,"unsigned __int64 _blsic_u64(unsigned __int64);"
"_blsmsk_u32"                                   ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned int _blsmsk_u32(unsigned int);"
"_blsmsk_u64"                                   ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned __int64 _blsmsk_u64(unsigned __int64);"
"_blsr_u32"                                     ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned int _blsr_u32(unsigned int);"
"_blsr_u64"                                     ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned __int64 _blsr_u64(unsigned __int64);"
"_bzhi_u32"                                     ,"BMI"        ,"immintrin.h"              ,"unsigned int _bzhi_u32(unsigned int, unsigned int);"
"_bzhi_u64"                                     ,"BMI"        ,"immintrin.h"              ,"unsigned __int64 _bzhi_u64(unsigned __int64, unsigned int);"
"_castf32_u32"                                  ,""           ,"immintrin.h"              ,"unsigned __int32 _castf32_u32 (float);"
"_castf64_u64"                                  ,""           ,"immintrin.h"              ,"unsigned __int64 _castf64_u64 (double);"
"_castu32_f32"                                  ,""           ,"immintrin.h"              ,"float _castu32_f32 (unsigned __int32);"
"_castu64_f64"                                  ,""           ,"immintrin.h"              ,"double _castu64_f64 (unsigned __int64 a);"
"_clac"                                         ,"SMAP"       ,"intrin.h"                 ,"void _clac(void);"
"__cpuid"                                       ,""           ,"intrin.h"                 ,"void __cpuid(int *, int);"
"__cpuidex"                                     ,""           ,"intrin.h"                 ,"void __cpuidex(int *, int, int);"
"__debugbreak"                                  ,""           ,"intrin.h"                 ,"void __debugbreak(void);"
"_disable"                                      ,""           ,"intrin.h"                 ,"void _disable(void);"
"_div128"                                       ,""           ,"intrin.h"                 ,"__int64 _div128(__int64, __int64, __int64, __int64 *);"
"_div64"                                        ,""           ,"intrin.h"                 ,"int _div64(__int64, int, int*);"
"__emul"                                        ,""           ,"intrin.h"                 ,"__int64 [pascal/cdecl] __emul(int, int);"
"__emulu"                                       ,""           ,"intrin.h"                 ,"unsigned __int64 [pascal/cdecl]__emulu(unsigned int, unsigned int);"
"_enable"                                       ,""           ,"intrin.h"                 ,"void _enable(void);"
"__fastfail"                                    ,""           ,"intrin.h"                 ,"void __fastfail(unsigned int);"
"__faststorefence"                              ,""           ,"intrin.h"                 ,"void __faststorefence(void);"
"_fxrstor"                                      ,"FXSR"       ,"immintrin.h"              ,"void _fxrstor(void const*);"
"_fxrstor64"                                    ,"FXSR"       ,"immintrin.h"              ,"void _fxrstor64(void const*);"
"_fxsave"                                       ,"FXSR"       ,"immintrin.h"              ,"void _fxsave(void*);"
"_fxsave64"                                     ,"FXSR"       ,"immintrin.h"              ,"void _fxsave64(void*);"
"__getcallerseflags"                            ,""           ,"intrin.h"                 ,"(unsigned int __getcallerseflags());"
"__halt"                                        ,""           ,"intrin.h"                 ,"void __halt(void);"
"__inbyte"                                      ,""           ,"intrin.h"                 ,"unsigned char __inbyte(unsigned short);"
"__inbytestring"                                ,""           ,"intrin.h"                 ,"void __inbytestring(unsigned short, unsigned char *, unsigned long);"
"__incgsbyte"                                   ,""           ,"intrin.h"                 ,"void __incgsbyte(unsigned long);"
"__incgsdword"                                  ,""           ,"intrin.h"                 ,"void __incgsdword(unsigned long);"
"__incgsqword"                                  ,""           ,"intrin.h"                 ,"void __incgsqword(unsigned long);"
"__incgsword"                                   ,""           ,"intrin.h"                 ,"void __incgsword(unsigned long);"
"__indword"                                     ,""           ,"intrin.h"                 ,"unsigned long __indword(unsigned short);"
"__indwordstring"                               ,""           ,"intrin.h"                 ,"void __indwordstring(unsigned short, unsigned long *, unsigned long);"
"__int2c"                                       ,""           ,"intrin.h"                 ,"void __int2c(void);"
"_InterlockedAnd"                               ,""           ,"intrin.h"                 ,"long _InterlockedAnd(long volatile *, long);"
"_InterlockedAnd_HLEAcquire"                    ,"HLE"        ,"immintrin.h"              ,"long _InterlockedAnd_HLEAcquire(long volatile *, long);"
"_InterlockedAnd_HLERelease"                    ,"HLE"        ,"immintrin.h"              ,"long _InterlockedAnd_HLERelease(long volatile *, long);"
"_InterlockedAnd_np"                            ,""           ,"intrin.h"                 ,"long _InterlockedAnd_np(long *, long);"
"_InterlockedAnd16"                             ,""           ,"intrin.h"                 ,"short _InterlockedAnd16(short volatile *, short);"
"_InterlockedAnd16_np"                          ,""           ,"intrin.h"                 ,"short _InterlockedAnd16_np(short *, short);"
"_InterlockedAnd64"                             ,""           ,"intrin.h"                 ,"__int64 _InterlockedAnd64(__int64 volatile *, __int64);"
"_InterlockedAnd64_HLEAcquire"                  ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedAnd64_HLEAcquire(__int64 volatile *, __int64);"
"_InterlockedAnd64_HLERelease"                  ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedAnd64_HLERelease(__int64 volatile *, __int64);"
"_InterlockedAnd64_np"                          ,""           ,"intrin.h"                 ,"__int64 _InterlockedAnd64_np(__int64 *, __int64);"
"_InterlockedAnd8"                              ,""           ,"intrin.h"                 ,"char _InterlockedAnd8(char volatile *, char);"
"_InterlockedAnd8_np"                           ,""           ,"intrin.h"                 ,"char _InterlockedAnd8_np(char *, char);"
"_interlockedbittestandreset"                   ,""           ,"intrin.h"                 ,"unsigned char _interlockedbittestandreset(long *, long);"
"_interlockedbittestandreset_HLEAcquire"        ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandreset_HLEAcquire(long *, long);"
"_interlockedbittestandreset_HLERelease"        ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandreset_HLERelease(long *, long);"
"_interlockedbittestandreset64"                 ,""           ,"intrin.h"                 ,"unsigned char _interlockedbittestandreset64(__int64 *, __int64);"
"_interlockedbittestandreset64_HLEAcquire"      ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandreset64_HLEAcquire(__int64 *, __int64);"
"_interlockedbittestandreset64_HLERelease"      ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandreset64_HLERelease(__int64 *, __int64);"
"_interlockedbittestandset"                     ,""           ,"intrin.h"                 ,"unsigned char _interlockedbittestandset(long *, long);"
"_interlockedbittestandset_HLEAcquire"          ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandset_HLEAcquire(long *, long);"
"_interlockedbittestandset_HLERelease"          ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandset_HLERelease(long *, long);"
"_interlockedbittestandset64"                   ,""           ,"intrin.h"                 ,"unsigned char _interlockedbittestandset64(__int64 *, __int64);"
"_interlockedbittestandset64_HLEAcquire"        ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandset64_HLEAcquire(__int64 *, __int64);"
"_interlockedbittestandset64_HLERelease"        ,"HLE"        ,"immintrin.h"              ,"unsigned char _interlockedbittestandset64_HLERelease(__int64 *, __int64);"
"_InterlockedCompareExchange"                   ,""           ,"intrin.h"                 ,"long _InterlockedCompareExchange (long volatile *, long, long);"
"_InterlockedCompareExchange_HLEAcquire"        ,"HLE"        ,"immintrin.h"              ,"long _InterlockedCompareExchange_HLEAcquire(long volatile *, long, long);"
"_InterlockedCompareExchange_HLERelease"        ,"HLE"        ,"immintrin.h"              ,"long _InterlockedCompareExchange_HLERelease(long volatile *, long, long);"
"_InterlockedCompareExchange_np"                ,""           ,"intrin.h"                 ,"long _InterlockedCompareExchange_np (long *, long, long);"
"_InterlockedCompareExchange128"                ,""           ,"intrin.h"                 ,"unsigned char _InterlockedCompareExchange128(__int64 volatile *, __int64, __int64, __int64*);"
"_InterlockedCompareExchange128_np"             ,""           ,"intrin.h"                 ,"unsigned char _InterlockedCompareExchange128(__int64 volatile *, __int64, __int64, __int64*);"
"_InterlockedCompareExchange16"                 ,""           ,"intrin.h"                 ,"short _InterlockedCompareExchange16(short volatile *, short, short);"
"_InterlockedCompareExchange16_np"              ,""           ,"intrin.h"                 ,"short _InterlockedCompareExchange16_np(short volatile *, short, short);"
"_InterlockedCompareExchange64"                 ,""           ,"intrin.h"                 ,"__int64 _InterlockedCompareExchange64(__int64 volatile *, __int64, __int64);"
"_InterlockedCompareExchange64_HLEAcquire"      ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedCompareExchange64_HLEAcquire(__int64 volatile *, __int64, __int64);"
"_InterlockedCompareExchange64_HLERelease"      ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedCompareExchange64_HLERelease(__int64 volatile *, __int64, __int64);"
"_InterlockedCompareExchange64_np"              ,""           ,"intrin.h"                 ,"__int64 _InterlockedCompareExchange64_np(__int64 *, __int64, __int64);"
"_InterlockedCompareExchange8"                  ,""           ,"intrin.h"                 ,"char _InterlockedCompareExchange8(char volatile *, char, char);"
"_InterlockedCompareExchangePointer"            ,""           ,"intrin.h"                 ,"void *_InterlockedCompareExchangePointer (void *volatile *, void *, void *);"
"_InterlockedCompareExchangePointer_HLEAcquire" ,"HLE"        ,"immintrin.h"              ,"void *_InterlockedCompareExchangePointer_HLEAcquire(void *volatile *, void *, void *);"
"_InterlockedCompareExchangePointer_HLERelease" ,"HLE"        ,"immintrin.h"              ,"void *_InterlockedCompareExchangePointer_HLERelease(void *volatile *, void *, void *);"
"_InterlockedCompareExchangePointer_np"         ,""           ,"intrin.h"                 ,"void *_InterlockedCompareExchangePointer_np(void **, void *, void *);"
"_InterlockedDecrement"                         ,""           ,"intrin.h"                 ,"long _InterlockedDecrement(long volatile *);"
"_InterlockedDecrement16"                       ,""           ,"intrin.h"                 ,"short _InterlockedDecrement16(short volatile *);"
"_InterlockedDecrement64"                       ,""           ,"intrin.h"                 ,"__int64 _InterlockedDecrement64(__int64 volatile *);"
"_InterlockedExchange"                          ,""           ,"intrin.h"                 ,"long _InterlockedExchange(long volatile *, long);"
"_InterlockedExchange_HLEAcquire"               ,"HLE"        ,"immintrin.h"              ,"long _InterlockedExchange_HLEAcquire(long volatile *, long);"
"_InterlockedExchange_HLERelease"               ,"HLE"        ,"immintrin.h"              ,"long _InterlockedExchange_HLERelease(long volatile *, long);"
"_InterlockedExchange16"                        ,""           ,"intrin.h"                 ,"short _InterlockedExchange16(short volatile *, short);"
"_InterlockedExchange64"                        ,""           ,"intrin.h"                 ,"__int64 _InterlockedExchange64(__int64 volatile *, __int64);"
"_InterlockedExchange64_HLEAcquire"             ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedExchange64_HLEAcquire(__int64 volatile *, __int64);"
"_InterlockedExchange64_HLERelease"             ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedExchange64_HLERelease(__int64 volatile *, __int64);"
"_InterlockedExchange8"                         ,""           ,"intrin.h"                 ,"char _InterlockedExchange8(char volatile *, char);"
"_InterlockedExchangeAdd"                       ,""           ,"intrin.h"                 ,"long _InterlockedExchangeAdd(long volatile *, long);"
"_InterlockedExchangeAdd_HLEAcquire"            ,"HLE"        ,"immintrin.h"              ,"long _InterlockedExchangeAdd_HLEAcquire(long volatile *, long);"
"_InterlockedExchangeAdd_HLERelease"            ,"HLE"        ,"immintrin.h"              ,"long _InterlockedExchangeAdd_HLERelease(long volatile *, long);"
"_InterlockedExchangeAdd16"                     ,""           ,"intrin.h"                 ,"short _InterlockedExchangeAdd16(short volatile *, short);"
"_InterlockedExchangeAdd64"                     ,""           ,"intrin.h"                 ,"__int64 _InterlockedExchangeAdd64(__int64 volatile *, __int64);"
"_InterlockedExchangeAdd64_HLEAcquire"          ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedExchangeAdd64_HLEAcquire(__int64 volatile *, __int64);"
"_InterlockedExchangeAdd64_HLERelease"          ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedExchangeAdd64_HLERelease(__int64 volatile *, __int64);"
"_InterlockedExchangeAdd8"                      ,""           ,"intrin.h"                 ,"char _InterlockedExchangeAdd8(char volatile *, char);"
"_InterlockedExchangePointer"                   ,""           ,"intrin.h"                 ,"void * _InterlockedExchangePointer(void *volatile *, void *);"
"_InterlockedExchangePointer_HLEAcquire"        ,"HLE"        ,"immintrin.h"              ,"void * _InterlockedExchangePointer_HLEAcquire(void *volatile *, void *);"
"_InterlockedExchangePointer_HLERelease"        ,"HLE"        ,"immintrin.h"              ,"void * _InterlockedExchangePointer_HLERelease(void *volatile *, void *);"
"_InterlockedIncrement"                         ,""           ,"intrin.h"                 ,"long _InterlockedIncrement(long volatile *);"
"_InterlockedIncrement16"                       ,""           ,"intrin.h"                 ,"short _InterlockedIncrement16(short volatile *);"
"_InterlockedIncrement64"                       ,""           ,"intrin.h"                 ,"__int64 _InterlockedIncrement64(__int64 volatile *);"
"_InterlockedOr"                                ,""           ,"intrin.h"                 ,"long _InterlockedOr(long volatile *, long);"
"_InterlockedOr_HLEAcquire"                     ,"HLE"        ,"immintrin.h"              ,"long _InterlockedOr_HLEAcquire(long volatile *, long);"
"_InterlockedOr_HLERelease"                     ,"HLE"        ,"immintrin.h"              ,"long _InterlockedOr_HLERelease(long volatile *, long);"
"_InterlockedOr_np"                             ,""           ,"intrin.h"                 ,"long _InterlockedOr_np(long *, long);"
"_InterlockedOr16"                              ,""           ,"intrin.h"                 ,"short _InterlockedOr16(short volatile *, short);"
"_InterlockedOr16_np"                           ,""           ,"intrin.h"                 ,"short _InterlockedOr16_np(short *, short);"
"_InterlockedOr64"                              ,""           ,"intrin.h"                 ,"__int64 _InterlockedOr64(__int64 volatile *, __int64);"
"_InterlockedOr64_HLEAcquire"                   ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedOr64_HLEAcquire(__int64 volatile *, __int64);"
"_InterlockedOr64_HLERelease"                   ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedOr64_HLERelease(__int64 volatile *, __int64);"
"_InterlockedOr64_np"                           ,""           ,"intrin.h"                 ,"__int64 _InterlockedOr64_np(__int64 *, __int64);"
"_InterlockedOr8"                               ,""           ,"intrin.h"                 ,"char _InterlockedOr8(char volatile *, char);"
"_InterlockedOr8_np"                            ,""           ,"intrin.h"                 ,"char _InterlockedOr8_np(char *, char);"
"_InterlockedXor"                               ,""           ,"intrin.h"                 ,"long _InterlockedXor(long volatile *, long);"
"_InterlockedXor_HLEAcquire"                    ,"HLE"        ,"immintrin.h"              ,"long _InterlockedXor_HLEAcquire(long volatile *, long);"
"_InterlockedXor_HLERelease"                    ,"HLE"        ,"immintrin.h"              ,"long _InterlockedXor_HLERelease(long volatile *, long);"
"_InterlockedXor_np"                            ,""           ,"intrin.h"                 ,"long _InterlockedXor_np(long *, long);"
"_InterlockedXor16"                             ,""           ,"intrin.h"                 ,"short _InterlockedXor16(short volatile *, short);"
"_InterlockedXor16_np"                          ,""           ,"intrin.h"                 ,"short _InterlockedXor16_np(short *, short);"
"_InterlockedXor64"                             ,""           ,"intrin.h"                 ,"__int64 _InterlockedXor64(__int64 volatile *, __int64);"
"_InterlockedXor64_HLEAcquire"                  ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedXor64_HLEAcquire(__int64 volatile *, __int64);"
"_InterlockedXor64_HLERelease"                  ,"HLE"        ,"immintrin.h"              ,"__int64 _InterlockedXor64_HLERelease(__int64 volatile *, __int64);"
"_InterlockedXor64_np"                          ,""           ,"intrin.h"                 ,"__int64 _InterlockedXor64_np(__int64 *, __int64);"
"_InterlockedXor8"                              ,""           ,"intrin.h"                 ,"char _InterlockedXor8(char volatile *, char);"
"_InterlockedXor8_np"                           ,""           ,"intrin.h"                 ,"char _InterlockedXor8_np(char *, char);"
"__invlpg"                                      ,""           ,"intrin.h"                 ,"void __invlpg(void*);"
"_invpcid"                                      ,"INVPCID"    ,"immintrin.h"              ,"void _invpcid(unsigned int, void *);"
"__inword"                                      ,""           ,"intrin.h"                 ,"unsigned short __inword(unsigned short);"
"__inwordstring"                                ,""           ,"intrin.h"                 ,"void __inwordstring(unsigned short, unsigned short *, unsigned long);"
"_lgdt"                                         ,""           ,"intrin.h"                 ,"void _lgdt(void*);"
"__lidt"                                        ,""           ,"intrin.h"                 ,"void __lidt(void*);"
"__ll_lshift"                                   ,""           ,"intrin.h"                 ,"unsigned __int64 [pascal/cdecl] __ll_lshift(unsigned __int64, int);"
"__ll_rshift"                                   ,""           ,"intrin.h"                 ,"__int64 [pascal/cdecl] __ll_rshift(__int64, int);"
"__llwpcb"                                      ,"LWP"        ,"ammintrin.h"              ,"void __llwpcb(void *);"
"_loadbe_i16"                                   ,"MOVBE"      ,"immintrin.h"              ,"short _loadbe_i16(void const*); [Macro]"
"_loadbe_i32"                                   ,"MOVBE"      ,"immintrin.h"              ,"int _loadbe_i32(void const*); [Macro]"
"_loadbe_i64"                                   ,"MOVBE"      ,"immintrin.h"              ,"__int64 _loadbe_i64(void const*); [Macro]"
"_load_be_u16"                                  ,"MOVBE"      ,"immintrin.h"              ,"unsigned short _load_be_u16(void const*); [Macro]"
"_load_be_u32"                                  ,"MOVBE"      ,"immintrin.h"              ,"unsigned int _load_be_u32(void const*); [Macro]"
"_load_be_u64"                                  ,"MOVBE"      ,"immintrin.h"              ,"unsigned __int64 _load_be_u64(void const*); [Macro]"
"__lwpins32"                                    ,"LWP"        ,"ammintrin.h"              ,"unsigned char __lwpins32(unsigned int, unsigned int, unsigned int);"
"__lwpins64"                                    ,"LWP"        ,"ammintrin.h"              ,"unsigned char __lwpins64(unsigned __int64, unsigned int, unsigned int);"
"__lwpval32"                                    ,"LWP"        ,"ammintrin.h"              ,"void __lwpval32(unsigned int, unsigned int, unsigned int);"
"__lwpval64"                                    ,"LWP"        ,"ammintrin.h"              ,"void __lwpval64(unsigned __int64, unsigned int, unsigned int);"
"__lzcnt"                                       ,"LZCNT"      ,"intrin.h"                 ,"unsigned int __lzcnt(unsigned int);"
"_lzcnt_u32"                                    ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned int _lzcnt_u32(unsigned int);"
"_lzcnt_u64"                                    ,"BMI"        ,"ammintrin.h, immintrin.h" ,"unsigned __int64 _lzcnt_u64(unsigned __int64);"
"__lzcnt16"                                     ,"LZCNT"      ,"intrin.h"                 ,"unsigned short __lzcnt16(unsigned short);"
"__lzcnt64"                                     ,"LZCNT"      ,"intrin.h"                 ,"unsigned __int64 __lzcnt64(unsigned __int64);"
"_m_prefetch"                                   ,"3DNOW"      ,"intrin.h"                 ,"void _m_prefetch(void*);"
"_m_prefetchw"                                  ,"3DNOW"      ,"intrin.h"                 ,"void _m_prefetchw(void*);"
"_mm_abs_epi16"                                 ,"SSSE3"      ,"intrin.h"                 ,"__m128i _mm_abs_epi16(__m128i);"
"_mm_abs_epi32"                                 ,"SSSE3"      ,"intrin.h"                 ,"__m128i _mm_abs_epi32(__m128i);"
"_mm_abs_epi8"                                  ,"SSSE3"      ,"intrin.h"                 ,"__m128i _mm_abs_epi8(__m128i);"
"_mm_add_epi16"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_add_epi16(__m128i, __m128i);"
"_mm_add_epi32"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_add_epi32(__m128i, __m128i);"
"_mm_add_epi64"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_add_epi64(__m128i, __m128i);"
"_mm_add_epi8"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_add_epi8(__m128i, __m128i);"
"_mm_add_pd"                                    ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_add_pd(__m128d, __m128d);"
"_mm_add_ps"                                    ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_add_ps(__m128, __m128);"
"_mm_add_sd"                                    ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_add_sd(__m128d, __m128d);"
"_mm_add_ss"                                    ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_add_ss(__m128, __m128);"
"_mm_adds_epi16"                                ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_adds_epi16(__m128i, __m128i);"
"_mm_adds_epi8"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_adds_epi8(__m128i, __m128i);"
"_mm_adds_epu16"                                ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_adds_epu16(__m128i, __m128i);"
"_mm_adds_epu8"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_adds_epu8(__m128i, __m128i);"
"_mm_addsub_pd"                                 ,"SSE3"       ,"intrin.h"                 ,"__m128d _mm_addsub_pd(__m128d, __m128d);"
"_mm_addsub_ps"                                 ,"SSE3"       ,"intrin.h"                 ,"__m128 _mm_addsub_ps(__m128, __m128);"
"_mm_aesdec_si128"                              ,"AESNI"      ,"immintrin.h"              ,"__m128i _mm_aesdec_si128(__m128i, __m128i);"
"_mm_aesdeclast_si128"                          ,"AESNI"      ,"immintrin.h"              ,"__m128i _mm_aesdeclast_si128(__m128i, __m128i);"
"_mm_aesenc_si128"                              ,"AESNI"      ,"immintrin.h"              ,"__m128i _mm_aesenc_si128(__m128i, __m128i);"
"_mm_aesenclast_si128"                          ,"AESNI"      ,"immintrin.h"              ,"__m128i _mm_aesenclast_si128(__m128i, __m128i);"
"_mm_aesimc_si128"                              ,"AESNI"      ,"immintrin.h"              ,"__m128i _mm_aesimc_si128 (__m128i);"
"_mm_aeskeygenassist_si128"                     ,"AESNI"      ,"immintrin.h"              ,"__m128i _mm_aeskeygenassist_si128 (__m128i, const int);"
"_mm_alignr_epi8"                               ,"SSSE3"      ,"intrin.h"                 ,"__m128i _mm_alignr_epi8(__m128i, __m128i, int);"
"_mm_and_pd"                                    ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_and_pd(__m128d, __m128d);"
"_mm_and_ps"                                    ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_and_ps(__m128, __m128);"
"_mm_and_si128"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_and_si128(__m128i, __m128i);"
"_mm_andnot_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_andnot_pd(__m128d, __m128d);"
"_mm_andnot_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_andnot_ps(__m128, __m128);"
"_mm_andnot_si128"                              ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_andnot_si128(__m128i, __m128i);"
